model,f1,precision,recall,f1_pa,roc_auc,pr_auc,threshold,params,train_s,infer_s
LSTM-VAE,0.5704248907726621,0.519183922046127,0.6328878990346575,0.9983299308412513,0.8892348915184225,0.54590458425901,5.986741281205547,65542,1.8941164016723633,0.14978742599487305
DDPM-vanilla,0.6941176465657497,0.6199649737301167,0.7884187082402419,0.9962990372494506,0.9661370314370779,0.7113322460153327,0.20401224977060226,84454,2.7273547649383545,3.2302987575531006
AnomalyFilter,0.6557313019810875,0.6918005768435551,0.6232368225684398,0.9627373696184961,0.829635157610064,0.5916653801694497,0.5833452016129175,190433,280.7713146209717,30.49463987350464
