model,f1,precision,recall,f1_pa,roc_auc,pr_auc,threshold,params,train_s,infer_s
LSTM-VAE,0.6065957825241705,0.5894921190891105,0.6247216035632425,0.9983299308412513,0.8963319546492546,0.5672033177438786,5.882997635667932,65542,8.830919981002808,0.14980769157409668
DDPM-vanilla,0.6015389757509054,0.5475030450668248,0.6674090571638206,0.9994435164723617,0.9321611567529391,0.6142904959942603,0.2023876538829303,84454,13.857619524002075,3.324547052383423
DDPM-selective,0.65769628814978,0.5465716392232621,0.8255382331103097,0.9977777772774107,0.9565635050505444,0.6912835675195715,1.8737083372793022,84454,13.713070631027222,1.5729291439056396
ImDiffusion,0.3223684207392484,0.8292307692294935,0.2000742390496659,0.9878987893786988,0.5979650769836056,0.2479006870745184,1.0,446817,8441.909034013748,109.70624899864197
