model,f1,precision,recall,f1_pa,roc_auc,pr_auc,params,train_s,infer_s
LSTM-VAE,0.6065957825241705,0.5894921190891105,0.6247216035632425,0.9983299308412513,0.8963319546492546,0.5672033177438786,65542,79.69101405143738,1.080826759338379
DDPM-vanilla,0.6015389757509054,0.5475030450668248,0.6674090571638206,0.9994435164723617,0.9321611567529391,0.6142904959942603,84454,71.54141902923584,10.815806150436401
DDPM-selective,0.65769628814978,0.5465716392232621,0.8255382331103097,0.9977777772774107,0.9565635050505444,0.6912835675195715,84454,71.78447079658508,4.400051116943359
ImDiffusion,0.315476190158152,0.7957957957946009,0.1967334818113598,0.9855496611057435,0.5958218760900306,0.23923678175447918,447393,-48701.47474074364,94.79522848129272
