model,f1,precision,recall,f1_pa,roc_auc,pr_auc,params,train_s,infer_s
LSTM-VAE,0.6127023656276647,0.5883156815850399,0.639198218262569,0.9983299308412513,0.8977393583137585,0.5718333773690494,65542,8.6881742477417,0.030394792556762695
DDPM-vanilla,0.5970199791853238,0.5488792029886211,0.6544172234592968,0.9987015391026717,0.9250381236306912,0.5986080579595374,84454,13.462104558944702,0.6719422340393066
DDPM-selective,0.6296022470437702,0.5232243794542828,0.7902746844837453,0.9979625851636442,0.9449141068446332,0.6471264545153481,84454,13.825047254562378,0.3234684467315674
ImDiffusion,0.32286212880551624,0.7459677419344812,0.20601336302887677,0.9893499811375926,0.5996169498245082,0.24745532207322696,112897,390.1130566596985,36.47238779067993
